Rxn_ID	Metabolite	experimental	predictions
HMR_9034	glucose	-0.826120427	-1.67994696476354
HMR_9039	isoleucine	-0.008957816	-0.00620753177380135
HMR_9040	leucine	-0.016259326	-0.0133391621288158
HMR_9041	lysine	-0.017307958	-0.011470875866798
HMR_9042	methionine	-0.004789793	-0.00313389953628806
HMR_9043	phenylalanine	-0.005369239	-0.00582583888156114
HMR_9044	threonine	-0.011510289	-0.00988383699906234
HMR_9045	tryptophan	-0.00138647	-0.00144641517059449
HMR_9046	valine	-0.011472903	-0.00946196590763895
HMR_9061	alanine	0.055245815	-0.01882348631732
HMR_9062	asparagine	-0.002396685	-0.00803563983663605
HMR_9063	glutamine	-0.228850691	-0.0342452184371305
HMR_9064	tyrosine	-0.008123502	-0.00381692892240212
HMR_9066	arginine	-0.011382525	-0.0101851734929362
HMR_9067	glycine	0.003908824	-0.0323635394420518
HMR_9068	proline	0.005380916	-0.0171360019516264
HMR_9069	serine	-0.033339735	-0.0202974335989046
HMR_9070	aspartate	-0.004150227	-0.00597985531176333
HMR_9071	glutamate	0.042193442	0.0014263260710029
HMR_9083	choline	-0.000966912	-0.000745898223285946
HMR_9087	ornithine	0.003060358	0
HMR_9133	pyruvate	1.15384e-07	0
HMR_9135	L-lactate	1.166895089	2.91372689617028
HMR_9146	folate	-2.33989e-06	0
HMR_9259	AKG	1.33479e-05	0.00502227489789739
HMR_9292	L-carnitine	-2.45652e-05	0
humanGrowthOut	biomass	0.031111255	0.0334818326526502
