Rxn_ID	Metabolite	experimental	predictions
HMR_9034	glucose	-0.479477546	-0.00631490132120971
HMR_9039	isoleucine	-0.005568708	-0.0042178199184482
HMR_9040	leucine	-0.006592535	-0.00798193556918176
HMR_9041	lysine	-0.006015855	-0.006015855
HMR_9042	methionine	-0.001426579	-0.0019324681295141
HMR_9043	phenylalanine	-0.00220937	-0.0030499412949602
HMR_9044	threonine	-0.004979441	-0.004979441
HMR_9045	tryptophan	-0.00035138	-0.000806596616702966
HMR_9046	valine	-0.004841612	-0.00566297334586501
HMR_9061	alanine	0.018852115	0
HMR_9062	asparagine	-0.001988739	-0.00313395885845559
HMR_9063	glutamine	-0.078432974	-0.0175393703392188
HMR_9064	tyrosine	-0.003180849	-0.00230215884430334
HMR_9066	arginine	-0.007139201	-0.0995681534016138
HMR_9067	glycine	0.006385996	-0.0035514576008177
HMR_9068	proline	0.001436971	-0.00419261484992808
HMR_9069	serine	-0.016568732	-0.0108817727554289
HMR_9070	aspartate	-0.00113204	0
HMR_9071	glutamate	0.00917449	-0.00678444271243286
HMR_9083	choline	-0.000990661	-0.000877663624345959
HMR_9087	ornithine	0.001948405	0
HMR_9133	pyruvate	5.8547e-08	0
HMR_9135	L-lactate	0.743240244	0
HMR_9146	folate	8.4277e-07	0
HMR_9259	AKG	4.47547e-06	0
HMR_9292	L-carnitine	-5.56215e-06	0
humanGrowthOut	biomass	0.010926773	0.0178386915517471
