Rxn_ID	Metabolite	experimental	predictions
HMR_9034	glucose	-0.848562996	-0.848562996
HMR_9039	isoleucine	-0.01142058	-0.00475125963537236
HMR_9040	leucine	-0.012571768	-0.0102098265303794
HMR_9041	lysine	-0.009254128	-0.00877983576633532
HMR_9042	methionine	-0.003363566	-0.00239869418484818
HMR_9043	phenylalanine	-0.003162452	-0.00445911098465367
HMR_9044	threonine	-0.009353784	-0.00756511242913657
HMR_9045	tryptophan	-0.000865457	-0.00110708962377608
HMR_9046	valine	-0.008788208	-0.00724221128886854
HMR_9061	alanine	0.022787714	-0.0144075413538637
HMR_9062	asparagine	-0.004913882	-0.00615049790986713
HMR_9063	glutamine	-0.122203241	-0.0262113719258854
HMR_9064	tyrosine	-0.004482545	-0.00292148650718688
HMR_9066	arginine	-0.00129978	-0.00779575610075658
HMR_9067	glycine	0.016061208	-0.024771130331989
HMR_9068	proline	-0.001069608	-0.0131159367927916
HMR_9069	serine	-0.024670565	-0.0155357041211052
HMR_9070	aspartate	0.001500354	0
HMR_9071	glutamate	0.016112564	-1.53320615875013
HMR_9083	choline	-0.001938647	-0.000570912280361029
HMR_9087	ornithine	-0.002311655	0.764860438300601
HMR_9133	pyruvate	2.87325e-07	0.295377504740814
HMR_9135	L-lactate	0.932104298	1.42798733869487
HMR_9146	folate	9.99813e-06	0
HMR_9259	AKG	1.9532e-05	0.47292914738501
HMR_9292	L-carnitine	-1.83091e-05	0
humanGrowthOut	biomass	0.020798529	0.0256270746244464
