Rxn_ID	Metabolite	experimental	predictions
HMR_9034	glucose	-0.848562996	-0.848562996
HMR_9039	isoleucine	-0.01142058	-5.10134821498075
HMR_9040	leucine	-0.012571768	-9.65394582516277
HMR_9041	lysine	-0.009254128	-7.27602653770162
HMR_9042	methionine	-0.003363566	-2.33727109451309
HMR_9043	phenylalanine	-0.003162452	-3.68882351003588
HMR_9044	threonine	-0.009353784	-916.813947633887
HMR_9045	tryptophan	-0.000865457	-0.97555663075329
HMR_9046	valine	-0.008788208	-6.84922051174706
HMR_9061	alanine	0.022787714	-7.23368331921003
HMR_9062	asparagine	-0.004913882	-3.79044399240601
HMR_9063	glutamine	-0.122203241	-11.0117335526614
HMR_9064	tyrosine	-0.004482545	-2.78440121694168
HMR_9066	arginine	-0.00129978	-5.39604761385413
HMR_9067	glycine	0.016061208	0
HMR_9068	proline	-0.001069608	-5.0708620702697
HMR_9069	serine	-0.024670565	-104.874974952199
HMR_9070	aspartate	0.001500354	0
HMR_9071	glutamate	0.016112564	-13.1449786518778
HMR_9083	choline	-0.001938647	-1.06151331902561
HMR_9087	ornithine	-0.002311655	5.86899734349765
HMR_9133	pyruvate	2.87325e-07	0
HMR_9135	L-lactate	0.932104298	0
HMR_9146	folate	9.99813e-06	-18.9328293685735
HMR_9259	AKG	1.9532e-05	0
HMR_9292	L-carnitine	-1.83091e-05	0
humanGrowthOut	biomass	0.020798529	21.5754739639351
