Rxn_ID	Metabolite	experimental	predictions
HMR_9034	glucose	-0.864113881	-0.864113881
HMR_9039	isoleucine	-0.00889841	-0.011585908683997
HMR_9040	leucine	-0.010361673	-0.0248965804730551
HMR_9041	lysine	-0.012443708	-0.021409559412823
HMR_9042	methionine	-0.003263032	-0.00584919661716354
HMR_9043	phenylalanine	-0.00339599	-0.0108735065319066
HMR_9044	threonine	-0.008802744	-0.0151665731323789
HMR_9045	tryptophan	-0.000725178	-0.00269962920792163
HMR_9046	valine	-0.010005055	-0.0176600744018207
HMR_9061	alanine	0.0076389	-0.0351326745530913
HMR_9062	asparagine	-0.002440472	-0.0149979400440091
HMR_9063	glutamine	-0.109775824	-0.0607916503117133
HMR_9064	tyrosine	-0.003969672	-0.00712402152090431
HMR_9066	arginine	-0.009856139	-0.0190098890057815
HMR_9067	glycine	0.0025653	-1.03341180703611
HMR_9068	proline	0.000231007	-0.0319831071438494
HMR_9069	serine	-0.030117158	-0.175620178775851
HMR_9070	aspartate	-0.000684778	0
HMR_9071	glutamate	0.018807129	-1.92839262746602
HMR_9083	choline	-0.000571763	-0.00139216503716009
HMR_9087	ornithine	0.01603422	0
HMR_9133	pyruvate	5.75643e-08	0
HMR_9135	L-lactate	0.992967126	3.2750041417536
HMR_9146	folate	-1.39717e-05	-0.958384611965959
HMR_9259	AKG	1.23778e-05	0
HMR_9292	L-carnitine	9.89095e-06	0
humanGrowthOut	biomass	0.025987054	0.0624914168500378
