Rxn_ID	Metabolite	experimental	predictions
HMR_9034	glucose	-0.864113881	-0.864113881
HMR_9039	isoleucine	-0.00889841	-0.00675951525068694
HMR_9040	leucine	-0.010361673	-0.0145253013801169
HMR_9041	lysine	-0.012443708	-0.0124908841687451
HMR_9042	methionine	-0.003263032	-0.0034583932143105
HMR_9043	phenylalanine	-0.00339599	-0.0063438816268583
HMR_9044	threonine	-0.008802744	-0.008802744
HMR_9045	tryptophan	-0.000725178	-0.00157503267977172
HMR_9046	valine	-0.010005055	-0.0103033387801733
HMR_9061	alanine	0.0076389	-0.020497300290918
HMR_9062	asparagine	-0.002440472	-0.00875018155428731
HMR_9063	glutamine	-0.109775824	-0.0354674025667113
HMR_9064	tyrosine	-0.003969672	-0.00415633623828647
HMR_9066	arginine	-0.009856139	-0.0110908551200592
HMR_9067	glycine	0.0025653	-0.423709299645141
HMR_9068	proline	0.000231007	-0.0186597621645177
HMR_9069	serine	-0.030117158	-0.0136167086729484
HMR_9070	aspartate	-0.000684778	0
HMR_9071	glutamate	0.018807129	-0.797913444769649
HMR_9083	choline	-0.000571763	-0.000812224665049776
HMR_9087	ornithine	0.01603422	0
HMR_9133	pyruvate	5.75643e-08	0
HMR_9135	L-lactate	0.992967126	2.21460611940561
HMR_9146	folate	-1.39717e-05	-0.379936516419818
HMR_9259	AKG	1.23778e-05	0
HMR_9292	L-carnitine	9.89095e-06	0
humanGrowthOut	biomass	0.025987054	0.0364590898095304
