Rxns	Wild_Type	ENSG00000001630	ENSG00000062485	ENSG00000067064	ENSG00000079459	ENSG00000084774	ENSG00000091483	ENSG00000099194	ENSG00000099797	ENSG00000100577	ENSG00000100714	ENSG00000102967	ENSG00000103876	ENSG00000104549	ENSG00000105552	ENSG00000109929	ENSG00000110921	ENSG00000112972	ENSG00000113161	ENSG00000113924	ENSG00000114491	ENSG00000116133	ENSG00000125166	ENSG00000128050	ENSG00000128059	ENSG00000129596	ENSG00000131069	ENSG00000132196	ENSG00000135821	ENSG00000138363	ENSG00000147155	ENSG00000147383	ENSG00000149084	ENSG00000151552	ENSG00000158104	ENSG00000159131	ENSG00000160285	ENSG00000162368	ENSG00000163344	ENSG00000163655	ENSG00000167508	ENSG00000169710	ENSG00000171759	ENSG00000172893	ENSG00000174915	ENSG00000176890	ENSG00000176974	ENSG00000178921	ENSG00000183048	ENSG00000225697	ENSG00000241878
HMR_3905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMR_3907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMR_4097	1.10064031343579	0	0.937228924529929	0	0	0	0	0	0	2.34775969751283	0.864696464564053	0	2.34775969751283	0	0.663053116543451	0	0	0.348557032078023	0	2.34775969751283	0	0	0.833923470435419	0	0	0.835102636693452	0	0	0.40891263014745	0	0	0	0	1.69219184116244	2.34775969751283	0	0	0	0	0	0	0	1.69219184116243	0	0	0	0.53654836456829	0	0.835102636690797	0.835102636690783	0
HMR_4099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMR_4108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMR_4133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMR_4137	3.92703632207665	0	0	0	0	0	0	0	0	3.69394101040243	3.84300565195867	0	3.69394101040243	0	4.2094628862115	0	0	3.22400741603048	0	3.69394101040243	0	0	3.45734112829887	0	0	3.45607526693219	2.28743195789154	0	3.2491839645103	0	0	0	0	3.80858601064662	3.69394101040243	0	0	0	0	0	0	0	3.80858601064663	0	0	0	3.51006841087365	0	3.45607526780639	3.45607526781232	0
HMR_4281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMR_4388	2.5434436033433	0	-1.38794525020873	0	0	0	0	0	0	2.29448353589322	0.582065409327285	0	2.29448353589322	0	2.41812984973836	0	0	0	0	2.29448353589322	0	0	1.51164348920369	0	0	2.21686841086059	0.213497908787734	0	0	0	0	0	0	2.4177978253744	2.29448353589322	0	0	0	0	0	0	0	2.41779782536934	0	0	0	0.508195395976251	0	1.5329965459842	2.21686840988398	0
HMR_4283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMR_8357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMR_4379	0.250219724839983	0	0	0	0	0	0	0	0	0.35272843042857	0.219583348248254	0	0.35272843042857	0	0.356034722945603	0	0	0.307675581479262	0	0.35272843042857	0	0	0.314715766856871	0	0	0.314430627172147	0.10083879045361	0	0.351561148437511	0	0	0	0	0.296773017562582	0.35272843042857	0	0	0	0	0	0	0	0.296773017562585	0	0	0	0.386625426205823	0	0.314430627172789	0.314430627172798	0
HMR_4301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.118875070482719	0	0	0	0	0	0	0	0	0.415532378346086	0	0.0653947679527975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMR_4355	0	0	4.68375849719987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMR_4358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMR_4360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMR_4363	-1.68219424285805	0	-6.52291582257083	0	0	0	0	0	0	-1.33827551859881	-1.41480963237197	0	-1.33827551859881	0	-1.32718284214801	0	0	0.725108178420182	0	-1.33827551859881	0	0	0.468309117250619	0	0	0.467671796509417	0.919032664757767	0	0.697487063491446	0	0	0	0	-1.52600702976924	-1.33827551859881	0	0	0	0	0	0	0	-1.52600702976923	0	0	0	0.478243694228046	0	0.467671796510851	0.467671796510871	0
