Protein.ID;Average,,pmol,mg,;std
A0AV96;0,02452592;0.006855232
A0AVI4;0;0
A0AVT1;2,9348832;0.08461359
A0FGR8;3,6723735;0.3329233
A0JNW5;0,01700122;0.005040292
A0M8Q6;0;0
A0MZ66;6,203058;0.42871356
A0PJW6;0,1618922;0.01881575
A0PJX8;0;0
A0PK00;0;0
A1A5C7;0,07202349;0.015450393
A1IGU5;0;0
A1L0T0;1,708575;0.399585
A1L170;0,16070214;0.075798
A1L188;0;0
A1L390;0;0
A1X283;0,02635904;0.008461873
A1Z1Q3;0,4801336;0.11648048
A2A3N6;0,08038843;0.002881627
A2AJT9;1,1772285;0.14681058
A2RRD8;2,954631;0.51292
A2RRP1;0,2845886;0.02351062
A2RTX5;0,07318012;0.02670504
A2RTY3;0;0
A2RU67;0,04629716;0.003734924
A2RUC4;0,0154362;0.01336934
A2VDF0;0;0
A2VDJ0;0;0
A3KMH1;1,6640868;0.08614395
A3KN83;0,07592076;0.019804632
A4D0S4;0;0
A4D126;0;0
A4D1E1;0,1283373;0.03180714
A4D1E9;4,628535;0.7348836
A4D1P6;0,21854844;0.06868119
A4D1U4;0,08436023;0.01841464
A4D2B0;0;0
A4D2B8;0;0
A4FU01;6,405508;0.5823596
A4QPH2;0,21111096;0.03717165
A4UGR9;0;0
A5A3E0;0;0
A5D6W6;0,02888668;0.0500332
A5D8V6;0,05266276;0.01347848
A5YKK6;1,5403544;0.18108592
A6NC98;0,18304808;0.0577136
A6NCS6;4,335628;0.6102662
A6ND36;0;0
A6ND91;0;0
A6NDB9;0,2420289;0.03493521
A6NDG6;2,097099;0.2674206
A6NDU8;0,3624364;0.04075909
A6NDY0;38,49147;5.268225
A6NEC2;17,008575;0.7776492
A6NED2;0,09954554;0.00832228
A6NEL2;0;0
A6NF01;0,2179654;0.01804916
A6NFY7;0,1068277;0.04451489
A6NGR9;0;0
A6NGU5;1,837135;0.0855241
A6NH11;1,042675;0.3354642
A6NHG4;5,923381;2.602961
A6NHL2;0;0
A6NHQ2;10,80676;0.3316522
A6NHR9;1,774609;0.03358462
A6NHX0;0,03069351;0.01446792
A6NI28;0;0
A6NI72;0;0
A6NI79;0;0
A6NIH7;0,1957038;0.03471584
A6NIX2;0;0
A6NIZ1;10,54582;1.697698
A6NJ78;1,2013368;0.13952904
A6NJU9;2,226083;0.4133732
A6NK44;0;0
A6NK58;0,02957567;0.01384545
A6NKD9;0;0
