Rxn ID 	metabolite	HT29	HOP-62	786-O	MALME-3M	UO-31	HS 578T	HOP-92	NCI-H226	MDA-MB-231/ATCC	RPMI 8226	SR
HMR_9135	L-lactate	1.392205968	0.679121284	1.166895089	0.932104298	1.118142634	0.767588362	0.743240244	0.317551752	0.552731028	0.687740829	0.992967126
HMR_9087	ornithine	0.007885861	0.000643202	0.003060358	-0.002311655	-0.001427155	0.001458248	0.001948405	0.001635996	-0.001200326	0.009506915	0.01603422
HMR_9133	pyruvate	2.51E-07	6.64E-08	1.15E-07	2.87E-07	1.52E-07	5.61E-08	5.85E-08	3.08E-08	4.95E-08	1.05E-07	5.76E-08
HMR_9067	glycine	-0.000802262	-0.000306523	0.003908824	0.016061208	0.008171299	0.004334714	0.006385996	0.002939872	0.000604886	-0.00039991	0.0025653
HMR_9061	alanine	0.056209087	0.014127935	0.055245815	0.022787714	0.086767953	0.025716586	0.018852115	0.009601013	0.012695001	0.032353203	0.0076389
HMR_9259	AKG	2.25E-05	1.03E-05	1.33E-05	1.95E-05	1.05E-05	6.34E-06	4.48E-06	8.71E-06	2.80E-06	8.67E-06	1.24E-05
HMR_9292	L-carnitine	-1.19E-05	-2.09E-05	-2.46E-05	-1.83E-05	-4.72E-05	1.17E-06	-5.56E-06	-2.19E-05	-1.20E-05	-2.58E-05	9.89E-06
HMR_9083	choline	-0.002044274	-0.000545279	-0.000966912	-0.001938647	-0.000844902	-0.000249379	-0.000990661	-0.000451292	-0.001591875	-0.00136736	-0.000571763
HMR_9045	tryptophan	-0.001211726	-0.000695832	-0.00138647	-0.000865457	-0.00133912	-0.000421306	-0.00035138	-0.000467773	-0.000944004	-0.000954767	-0.000725178
HMR_9042	methionine	-0.006100296	-0.002496251	-0.004789793	-0.003363566	-0.004351409	-0.001823891	-0.001426579	-0.001965335	-0.00289763	-0.002318728	-0.003263032
HMR_9034	glucose	-0.891204517	-0.437346135	-0.826120427	-0.848562996	-0.898948663	-0.549041759	-0.479477546	-0.26705905	-0.398649261	-0.594208072	-0.864113881
HMR_9039	isoleucine	-0.013615722	-0.005558778	-0.008957816	-0.01142058	-0.004599992	-0.00973818	-0.005568708	-0.003331967	-0.007996597	-0.007304317	-0.00889841
HMR_9062	asparagine	-0.00571363	-0.002018538	-0.002396685	-0.004913882	-0.001222105	0.000345758	-0.001988739	-0.001628876	-0.001922615	-0.002382279	-0.002440472
HMR_9046	valine	-0.01330341	-0.006165194	-0.011472903	-0.008788208	-0.010175864	-0.005794702	-0.004841612	-0.005347229	-0.007691297	-0.009105286	-0.010005055
HMR_9066	arginine	-0.027206388	-0.006832754	-0.011382525	-0.00129978	-0.005431378	-0.006102876	-0.007139201	-0.001574063	-0.00338457	-0.012814136	-0.009856139
HMR_9040	leucine	-0.01834798	-0.007998895	-0.016259326	-0.012571768	-0.00879963	-0.009163894	-0.006592535	-0.004904579	-0.009283825	-0.00911516	-0.010361673
HMR_9146	folate	4.25E-05	-5.73E-06	-2.34E-06	1.00E-05	8.51E-06	-9.39E-06	8.43E-07	-3.16E-06	-6.98E-06	-1.40E-05	-1.40E-05
HMR_9064	tyrosine	-0.007986935	-0.003674763	-0.008123502	-0.004482545	-0.006833216	-0.002693864	-0.003180849	-0.00311885	-0.004976546	-0.004926558	-0.003969672
HMR_9070	aspartate	-0.001934168	-0.000782986	-0.004150227	0.001500354	-0.012462967	0.000128843	-0.00113204	-0.006761827	0.002611711	-0.000494245	-0.000684778
HMR_9068	proline	0.000605661	-0.000675569	0.005380916	-0.001069608	0.00710491	0.001186608	0.001436971	0.001361038	0.002203858	0.002435376	0.000231007
HMR_9041	lysine	-0.022543147	-0.009620991	-0.017307958	-0.009254128	-0.015465749	-0.005490858	-0.006015855	-0.006186391	-0.009191799	-0.013165857	-0.012443708
HMR_9063	glutamine	-0.226698917	-0.146252447	-0.228850691	-0.122203241	-0.219496506	-0.124230534	-0.078432974	-0.091938612	-0.094750789	-0.123594044	-0.109775824
HMR_9043	phenylalanine	-0.006567123	-0.002744675	-0.005369239	-0.003162452	-0.004906518	-0.002358298	-0.00220937	-0.002257474	-0.003408873	-0.003510565	-0.00339599
HMR_9069	serine	-0.0325857	-0.016314407	-0.033339735	-0.024670565	-0.031649758	-0.011636228	-0.016568732	-0.017833616	-0.021499214	-0.022222852	-0.030117158
HMR_9044	threonine	-0.013603744	-0.006411995	-0.011510289	-0.009353784	-0.009821513	-0.005220614	-0.004979441	-0.005240142	-0.007183311	-0.008527731	-0.008802744
HMR_9071	glutamate	0.02678411	0.056588804	0.042193442	0.016112564	0.011390914	0.038522979	0.00917449	0.016202008	0.01664521	0.015988165	0.018807129
HMR_10024	biomass	0.035730055	0.018333143	0.031111255	0.020798529	0.019171008	0.013033577	0.010926773	0.011473383	0.018027769	0.02270517	0.025987054
prot_pool_exchange	Ptot	0.635989663	0.596562948	0.665	0.665	0.675602364	0.358063015	0.446059735	0.356088574	0.641657573	0.297257731	0.225610585
