Rxn_ID	Metabolite	experimental	predictions
HMR_9034	glucose	-0.898948663	-0.898948663
HMR_9039	isoleucine	-0.004599992	-0.00643152582827119
HMR_9040	leucine	-0.00879963	-0.0138204956309776
HMR_9041	lysine	-0.015465749	-0.0118847936826629
HMR_9042	methionine	-0.004351409	-0.00324698391330196
HMR_9043	phenylalanine	-0.004906518	-0.00603605983883057
HMR_9044	threonine	-0.009821513	-0.00841921074019782
HMR_9045	tryptophan	-0.00133912	-0.00149860795998552
HMR_9046	valine	-0.010175864	-0.00980339373823861
HMR_9061	alanine	0.086767953	-0.019502717479256
HMR_9062	asparagine	-0.001222105	-0.00832559977769734
HMR_9063	glutamine	-0.219496506	-0.0337464310989362
HMR_9064	tyrosine	-0.006833216	-0.00395465989440623
HMR_9066	arginine	-0.005431378	-0.0105526977182314
HMR_9067	glycine	0.008171299	-0.382055655907408
HMR_9068	proline	0.00710491	-0.0177543415259396
HMR_9069	serine	-0.031649758	-1.13480941254889
HMR_9070	aspartate	-0.012462967	0
HMR_9071	glutamate	0.011390914	-0.687266025866666
HMR_9083	choline	-0.000844902	-0.000772813392365033
HMR_9087	ornithine	-0.001427155	0
HMR_9133	pyruvate	1.5187e-07	0
HMR_9135	L-lactate	1.118142634	3.31064178596903
HMR_9146	folate	8.51269e-06	-0.340406843019475
HMR_9259	AKG	1.0472e-05	0
HMR_9292	L-carnitine	-4.71519e-05	0
humanGrowthOut	biomass	0.019171008	0.0346899990737389
