Rxn_ID	Metabolite	experimental	predictions
HMR_9034	glucose	-0.898948663	-0.898948663
HMR_9039	isoleucine	-0.004599992	-0.00643154735713768
HMR_9040	leucine	-0.00879963	-0.0138205418936551
HMR_9041	lysine	-0.015465749	-0.0118848334657787
HMR_9042	methionine	-0.004351409	-0.00324699478224426
HMR_9043	phenylalanine	-0.004906518	-0.00603608004391562
HMR_9044	threonine	-0.009821513	-0.00841923892263365
HMR_9045	tryptophan	-0.00133912	-0.00149861297642043
HMR_9046	valine	-0.010175864	-0.00980342655408364
HMR_9061	alanine	0.086767953	-0.0195027827625825
HMR_9062	asparagine	-0.001222105	-0.00832562764678016
HMR_9063	glutamine	-0.219496506	-0.0337465440616147
HMR_9064	tyrosine	-0.006833216	-0.00395467313222058
HMR_9066	arginine	-0.005431378	-0.0105527330422939
HMR_9067	glycine	0.008171299	-0.382058305867341
HMR_9068	proline	0.00710491	-0.0177544009567587
HMR_9069	serine	-0.031649758	-1.13629515938036
HMR_9070	aspartate	-0.012462967	0
HMR_9071	glutamate	0.011390914	-0.687271068554902
HMR_9083	choline	-0.000844902	-0.00077281597927781
HMR_9087	ornithine	-0.001427155	0
HMR_9133	pyruvate	1.5187e-07	0
HMR_9135	L-lactate	1.118142634	3.31213154003533
HMR_9146	folate	8.51269e-06	-0.340409353564324
HMR_9259	AKG	1.0472e-05	0
HMR_9292	L-carnitine	-4.71519e-05	0
humanGrowthOut	biomass	0.019171008	0.0346901151949173
