Rxn_ID	Metabolite	experimental	predictions
HMR_9034	glucose	-0.898948663	-0.898948663
HMR_9039	isoleucine	-0.004599992	-0.00643152688808771
HMR_9040	leucine	-0.00879963	-0.0138204979083826
HMR_9041	lysine	-0.015465749	-0.0118847956410941
HMR_9042	methionine	-0.004351409	-0.00324698444835496
HMR_9043	phenylalanine	-0.004906518	-0.00603606083348037
HMR_9044	threonine	-0.009821513	-0.00841921212755423
HMR_9045	tryptophan	-0.00133912	-0.00149860820693306
HMR_9046	valine	-0.010175864	-0.00980339535368709
HMR_9061	alanine	0.086767953	-0.0195027206930038
HMR_9062	asparagine	-0.001222105	-0.0083256011496281
HMR_9063	glutamine	-0.219496506	-0.0337464366598265
HMR_9064	tyrosine	-0.006833216	-0.00395466054607335
HMR_9066	arginine	-0.005431378	-0.0105526994571536
HMR_9067	glycine	0.008171299	-0.38205575642865
HMR_9068	proline	0.00710491	-0.0177543444515819
HMR_9069	serine	-0.031649758	-1.13480938478436
HMR_9070	aspartate	-0.012462967	0
HMR_9071	glutamate	0.011390914	-0.687266214246232
HMR_9083	choline	-0.000844902	-0.000772813519712792
HMR_9087	ornithine	-0.001427155	0
HMR_9133	pyruvate	1.5187e-07	0
HMR_9135	L-lactate	1.118142634	3.31064189561108
HMR_9146	folate	8.51269e-06	-0.340406936677635
HMR_9259	AKG	1.0472e-05	0
HMR_9292	L-carnitine	-4.71519e-05	0
humanGrowthOut	biomass	0.019171008	0.0346900047901171
