Rxn_ID	Metabolite	experimental	predictions
HMR_10024	biomass	0.013033577	0.0142399327759389
HMR_9034	glucose	-0.549041759	-0.549041759
HMR_9039	isoleucine	-0.00973818	-0.00342967641713866
HMR_9040	leucine	-0.009163894	-0.00699434098902346
HMR_9041	lysine	-0.005490858	-0.00548536165663286
HMR_9042	methionine	-0.001823891	-0.00171279976219245
HMR_9043	phenylalanine	-0.002358298	-0.00290097120905713
HMR_9044	threonine	-0.005220614	-0.00434741316606251
HMR_9045	tryptophan	-0.000421306	-0.000751740291174589
HMR_9046	valine	-0.005794702	-0.00513016433345303
HMR_9061	alanine	0.025716586	-0.00636620616233058
HMR_9062	asparagine	0.000345758	-0.00285847355368061
HMR_9063	glutamine	-0.124230534	-0.00432779111330704
HMR_9064	tyrosine	-0.002693864	-0.00217352709118484
HMR_9066	arginine	-0.006102876	-0.00390181634025432
HMR_9067	glycine	0.004334714	-0.00575501115966795
HMR_9068	proline	0.001186608	-0.00392517125400014
HMR_9069	serine	-0.011636228	-3.63837313651766
HMR_9070	aspartate	0.000128843	0
HMR_9071	glutamate	0.038522979	-1.84167493460527
HMR_9083	choline	-0.000249379	-0.00177892701961803
HMR_9087	ornithine	0.001458248	0
HMR_9133	pyruvate	5.61e-08	0
HMR_9135	L-lactate	0.767588362	5.43262186963242
HMR_9146	folate	-9.39e-06	-0.0132658932863582
HMR_9259	AKG	6.34e-06	0
HMR_9292	L-carnitine	1.17e-06	0
