"Protein"	"NCI60_MCF7_iBAQ"
"IPI00939892;CON__O95678;IPI00005859"	0
"IPI00790172;CON__Q92764;IPI00917866"	0
"IPI00000001;IPI00643664;IPI00218609;IPI00641873"	0
"IPI00000005"	15617000
"IPI00000006;IPI00741763;IPI00796085"	0
"IPI00000013"	0
"IPI00872579;IPI00000024;IPI00914969"	0
"IPI00000030;IPI00946908;IPI00219543;IPI00946763;IPI00219544;IPI00947369"	869830
"IPI00000041;IPI00893313"	3393000
"IPI00000049;IPI00747054"	0
"IPI00000051"	9780300
"IPI00000057;IPI00643424;IPI00922762"	440170
"IPI00017529;IPI00844191;IPI00942320;IPI00646548;IPI00000059"	0
"IPI00000070;IPI00908663"	0
"IPI00000075"	0
"IPI00000104;IPI00219610;IPI00219611;IPI00219612"	39521
"IPI00000105;IPI00910019"	0
"IPI00000115;IPI00642014"	0
"IPI00382750;IPI00000137"	0
"IPI00000138;IPI00179044"	722440
"IPI00220726;IPI00305242;IPI00000149;IPI00220721;IPI00220722;IPI00220725;IPI00073318;IPI00793235;IPI00220723;IPI00220724;IPI00927317;IPI00927151;IPI00927011;IPI00925486;IPI00953434"	0
"IPI00000155;IPI00647134;IPI00647648;IPI00910934;IPI00644210"	0
"IPI00000162;IPI00410360"	0
"IPI00000171;IPI00852894;IPI00853051"	83752
"IPI00000173;IPI00902958;IPI00945129;IPI00945006"	0
"IPI00101258;IPI00000181"	237630
"IPI00000184;IPI00396594;IPI00929604;IPI00893763;IPI00929243;IPI00385126"	364250
"IPI00218624;IPI00218620;IPI00000192;IPI00401959;IPI00218622;IPI00878468;IPI00748258;IPI00218619;IPI00401958;IPI00218618;IPI00402153;IPI00217930;IPI00953342;IPI00218617;IPI00218621;IPI00444149"	0
"IPI00000230;IPI00793630"	0
"IPI00000279;IPI00909823;IPI00926769;IPI00927837"	906830
"IPI00844425;IPI00000296;IPI00935838"	0
"IPI00000305;IPI00792270"	301850
"IPI00000330;IPI00829819;IPI00645651"	3283500
"IPI00000335"	10954000
"IPI00000425;IPI00152221;IPI00795987"	0
"IPI00867739;IPI00000455;IPI00929684;IPI00657857;IPI00941077;IPI00852815"	0
"IPI00000494"	3651900
"IPI00513945;IPI00000579"	245450
"IPI00000606;IPI00514593"	0
"IPI00000643;IPI00657974"	0
"IPI00000655"	0
"IPI00000656;IPI00935784;IPI00843937;IPI00790071"	0
"IPI00000663;IPI00759655"	109830
"IPI00000684;IPI00607787;IPI00217816;IPI00646967"	47103
"IPI00000685"	0
"IPI00000686;IPI00788256"	0
"IPI00000690;IPI00157908;IPI00300018;IPI00910786;IPI00910617"	13660000
"IPI00000691;IPI00789066"	0
"IPI00000692;IPI00644062"	0
"IPI00000695"	0
"IPI00000728;IPI00219505;IPI00219504;IPI00165116;IPI00796350;IPI00789575"	207560
"IPI00000735;IPI00030418;IPI00795202;IPI00893777"	0
"IPI00000736;IPI00879830"	0
"IPI00000760;IPI00647695;IPI00797462;IPI00645821;IPI00646524"	1863200
"IPI00000787;IPI00894395;IPI00170899;IPI00893456;IPI00796431;IPI00797045;IPI00893109;IPI00908394;IPI00893267"	0
"IPI00000792;IPI00647366;IPI00641565;IPI00642016;IPI00645425;IPI00874075"	3599400
"IPI00000811;IPI00789119;IPI00796198"	5051300
"IPI00000816;IPI00793344;IPI00792761;IPI00795516;IPI00940628"	91418000
"IPI00000821"	0
"IPI00455210;IPI00000846;IPI00445286;IPI00789340"	4094500
"IPI00913848;IPI00000856;IPI00383500"	7623.2
"IPI00000858;IPI00941607;IPI00941723;IPI00921016;IPI00922214;IPI00793755;IPI00946182;IPI00154408;IPI00642023;IPI00946689"	178920
"IPI00000861;IPI00386803;IPI00952738;IPI00883946;IPI00909678;IPI00015157"	1086000
"IPI00000865;IPI00797338;IPI00791237;IPI00791229;IPI00796317;IPI00791954;IPI00909661;IPI00798002;IPI00793834"	0
"IPI00000873;IPI00893918;IPI00908612;IPI00939335;IPI00646425;IPI00893487;IPI00941098;IPI00788898;IPI00943279;IPI00793323;IPI00893211;IPI00893333"	3339600
"IPI00000874;IPI00640741;IPI00641244"	146780000
"IPI00000877;IPI00922838;IPI00922127;IPI00922745"	9048100
"IPI00000897"	20600
"IPI00000948;IPI00924474;IPI00926878;IPI00927103;IPI00927064;IPI00927278;IPI00926666;IPI00927756"	2789700
"IPI00000949;IPI00556050"	0
"IPI00000980;IPI00893222;IPI00893097"	0
"IPI00001022"	476510
"IPI00001053"	0
"IPI00001091"	3089800
"IPI00001102"	0
"IPI00001141"	128800
"IPI00001146"	0
"IPI00001159;IPI00788818;IPI00789420"	3994600
"IPI00001287;IPI00514321;IPI00514791"	96455
"IPI00001364;IPI00069267;IPI00797180;IPI00219169"	0
"IPI00001427;IPI00749327;IPI00376691;IPI00432847"	0
"IPI00001437;IPI00908373;IPI00917768;IPI00916668"	0
"IPI00001453"	0
"IPI00001458;IPI00795298;IPI00795872;IPI00798173;IPI00794056;IPI00797544"	27348
"IPI00001466;IPI00940934;IPI00854834;IPI00893067;IPI00913926;IPI00917887;IPI00893935"	318850
"IPI00001485"	0
"IPI00001538;IPI00946452"	1050200
"IPI00001539;IPI00873829"	11042000
"IPI00001541"	1232300
"IPI00001543"	3060900
"IPI00001545;IPI00641232"	0
"IPI00001546"	0
"IPI00001563;IPI00010054"	0
"IPI00001564"	0
"IPI00001568;IPI00385952"	117770
"IPI00001578;IPI00795592;IPI00792773;IPI00791476;IPI00794964"	823970
"IPI00001580;IPI00760784;IPI00760582;IPI00924770;IPI00790978"	1287600
"IPI00001583"	0
"IPI00001586;IPI00216370"	24395
"IPI00001589"	3052900
"IPI00470529;IPI00940949;IPI00001592;IPI00910425;IPI00909386;IPI00909401;IPI00383519"	0
"IPI00399307;IPI00001593"	66373
"IPI00001618"	942980
"IPI00001636;IPI00940340;IPI00940152;IPI00385153;IPI00913912;IPI00889628;IPI00889588"	877150
"IPI00001638"	0
"IPI00001639;IPI00922792"	32857000
"IPI00001640;IPI00101308"	0
"IPI00001641;IPI00643261"	0
"IPI00001649"	1069400
"IPI00001655;IPI00910720"	625710
