cell_Line	pearson	MAE	RMSE
HS_578T	0.109237826136179	2.28775558152939	0.320821300511321
RPMI_8226	0.581154651737617	1.50306289014065	0.145961898820218
HT29	0.117871430561085	96.8016241845718	0.28688198012574
MALME_3M	0.975282342189267	569.196175747486	0.0920447895131406
SR	0.205898140047919	1.07041506184157	0.274712490967708
UO_31	0.317519242170321	53149.9390918593	0.174363322676906
MDAMB_231	0.0753669076210165	1.40490186156939	0.171161176107408
HOP62	0.110844348731132	1.5479294412475	0.0820187632916815
NCI_H226	0.19747831641055	1.30061202651721	0.130730449216575
HOP92	0.673679109285266	1.3658721974834	0.156612196764585
O_786	0.193017337086555	2.44372386886773	0.250325832872696
