cell_Line	pearson	MAE	RMSE
HS_578T	0.939815947156697	11.2817184735188	0.189963131686643
RPMI_8226	0.780477370169475	5.54564178155514	0.255721853690401
HT29	0.838025617349369	140.471883120457	0.547425862243618
MALME_3M	0.904036906294563	15937.4192646885	0.172427057373868
SR	0.840564584105477	1487.26068760179	0.503214280245098
UO_31	0.939462989785258	9.02385945260089	0.114146847277419
MDAMB_231	0.978137325635931	29678.3224128604	0.0458956816369652
HOP62	0.711701432554185	57.6095925102145	0.417221878557365
NCI_H226	0.777864044433716	6.95754755241477	0.427778586864855
HOP92	0.933242313216893	2.71852371995795	0.146901788054353
O_786	0.975498908173119	9.28755061027891	0.0638885468853594
