cell_Line	pearson	MAE	RMSE
HS_578T	0.939815947373162	11.281718457137	0.189963131215655
RPMI_8226	0.808193613993472	4.89740412818245	0.217591693289476
HT29	0.838025562447788	140.464241379952	0.547426107542547
MALME_3M	0.904036869602452	15937.4256521354	0.172427083957548
SR	0.840564611992803	1487.26055670176	0.503214164665636
UO_31	0.958654088206873	7.85421870877413	0.0904642648035494
MDAMB_231	0.987954161016651	56283.2208757581	0.028669481688623
HOP62	0.713229661962055	56.9034722827731	0.410579058536872
NCI_H226	0.813533752200998	5.16588882335434	0.292700420416454
HOP92	0.933242314350894	2.71852369783239	0.146901786192876
O_786	0.97549890644483	9.28757762532305	0.0638884589702286
