cell_Line	pearson	MAE	RMSE
HS_578T	0.154987587600545	2.09554676377832	0.319088465268491
RPMI_8226	0.581154651737579	1.50306289018713	0.14596189881985
HT29	0.117871441749842	96.8016820952535	0.28688197903887
MALME_3M	0.970736963322796	70.4808961988753	0.118878287527726
SR	0.189755372483219	1.23066803533406	0.275515956006256
UO_31	0.560596823158118	4628.50051291337	0.168209352320401
MDAMB_231	0.0756352951536879	1.27847096279645	0.170985543666868
HOP62	0.221659837125275	1.00124531059571	0.0801245362066846
NCI_H226	0.140510590732934	1.34193397261222	0.132124165031682
HOP92	0.673679120079495	1.36587226010861	0.156612195899238
O_786	0.0894746873846325	2.48837200678762	0.2541612925803
