cell_Line	pearson	MAE	RMSE
HS_578T	0.177369100492423	1.85711900385486	0.318695039202901
RPMI_8226	0.581153396887199	1.50305686832013	0.145956319877047
HT29	0.109808009992282	4.109871201049	0.289180516224719
MALME_3M	0.970743036133007	68.8050942412717	0.118875671408224
SR	0.190183349554783	0.965350195647877	0.275385454728422
UO_31	0.336723037183549	34764.0900748978	0.174359367883198
MDAMB_231	0.0756064762234552	1.27873768233527	0.170986573464205
HOP62	0.251022611927124	0.90455329953566	0.0798002940228167
NCI_H226	0.179390681156001	1.11753701671093	0.132058304255083
HOP92	0.674032437247542	1.36497421092032	0.156597492450252
O_786	0.120285975354724	2.21573957312251	0.253885002631788
