cell_Line	pearson	MAE	RMSE
HS_578T	0.787424924090936	2123183.36488512	274.213775153263
RPMI_8226	0.757483229818614	320032.182704486	258.097421784292
HT29	0.755867860351134	1552937.26931303	258.878134818571
MALME_3M	0.74717492264712	332508.388656346	260.493330730385
SR	0.769566492665445	163097.311317492	273.955964092839
UO_31	0.780734888154555	296525.368561742	274.31562343444
MDAMB_231	0.267182304333376	305124682.755357	280.719101097654
HOP62	0.75907120881089	787256.767234231	274.33384653003
NCI_H226	0.763153171344536	425663.676110058	262.659169075871
HOP92	0.748151201630649	247754.050813966	259.418432112008
O_786	0.769228737250262	181984.322124316	274.201056570774
