Rxn_ID	Metabolite	experimental	predictions
HMR_9034	glucose	-0.549041759	-0.549041759
HMR_9039	isoleucine	-0.00973818	-0.00341015644375613
HMR_9040	leucine	-0.009163894	-0.00732797371732708
HMR_9041	lysine	-0.005490858	-0.00630161595270145
HMR_9042	methionine	-0.001823891	-0.00172163237937203
HMR_9043	phenylalanine	-0.002358298	-0.00320047044883261
HMR_9044	threonine	-0.005220614	-0.00446407688060921
HMR_9045	tryptophan	-0.000421306	-0.000794599559710166
HMR_9046	valine	-0.005794702	-0.005198005453104
HMR_9061	alanine	0.025716586	-0.0103408303812281
HMR_9062	asparagine	0.000345758	-0.00441444199838981
HMR_9063	glutamine	-0.124230534	-0.018812880316472
HMR_9064	tyrosine	-0.002693864	-0.00209685994923516
HMR_9066	arginine	-0.006102876	-0.00559530523295908
HMR_9067	glycine	0.004334714	-0.0196166766303443
HMR_9068	proline	0.001186608	-0.00941379756156629
HMR_9069	serine	-0.011636228	-0.00931304344100627
HMR_9070	aspartate	0.000128843	0
HMR_9071	glutamate	0.038522979	-0.299434537428349
HMR_9083	choline	-0.000249379	-0.000409765060448036
HMR_9087	ornithine	0.001458248	0
HMR_9133	pyruvate	5.6069e-08	0
HMR_9135	L-lactate	0.767588362	1.24126915495862
HMR_9146	folate	-9.3907e-06	-0.00183751148182976
HMR_9259	AKG	6.34246e-06	0
HMR_9292	L-carnitine	1.17216e-06	0
humanGrowthOut	biomass	0.013033577	0.0183935083266242
