exchangeIDs	exchangeMets	exp_HS_578T	HS_578T	exp_RPMI_8226	RPMI_8226	exp_HT29	HT29	exp_MALME_3M	MALME_3M	exp_SR	SR	exp_UO_31	UO_31	exp_MDMAMB_231	MDMAMB_231	exp_HOP62	HOP62	exp_NCI_H226	NCI_H226	exp_HOP92	HOP92	exp_O_786	O_786
HMR_10024	biomass	0.035730055	0.00757695413016268	0.018333143	0.0210490922165196	0.031111255	0.035381147373977	0.020798529	0.0212268621491105	0.019171008	0.00762023184928535	0.013033577	0.0142399327759389	0.010926773	0.0139297792227043	0.011473383	0.016043720665454	0.018027769	0.00743839234270145	0.02270517	0.0140984507845674	0.025987054	0.00278218584940731
HMR_9034	glucose	-0.891204517	-0.891204517	-0.437346135	-0.437346135	-0.826120427	-0.826120427	-0.848562996	-0.848562996	-0.898948663	-0.898948663	-0.549041759	-0.549041759	-0.479477546	-0.479477546	-0.26705905	-0.26705905	-0.398649261	-0.398649261	-0.594208072	-0.594208072	-0.864113881	-0.864113881
HMR_9039	isoleucine	-0.013615722	-0.00182490334068638	-0.005558778	-0.00506965702107498	-0.008957816	-0.00852152104010445	-0.01142058	-0.00511247276712355	-0.004599992	-0.0018353267447149	-0.00973818	-0.00342967641713866	-0.005568708	-0.00335497618196495	-0.003331967	-0.00386411728729806	-0.007996597	-0.00179153084502577	-0.007304317	-0.00339560059270244	-0.00889841	-0.000670087236081072
HMR_9040	leucine	-0.01834798	-0.00372163279689734	-0.007998895	-0.0103388499642711	-0.016259326	-0.0173784394357979	-0.012571768	-0.0104261666353327	-0.00879963	-0.00374288985825669	-0.009163894	-0.00699434098902347	-0.006592535	-0.00684200040256049	-0.004904579	-0.00788032182683032	-0.009283825	-0.0036535743021838	-0.00911516	-0.00692484815453972	-0.010361673	-0.00136654834203089
HMR_9041	lysine	-0.022543147	-0.00291871698508914	-0.009620991	-0.00811131914615025	-0.017307958	-0.0136291647037002	-0.009254128	-0.00817679532308644	-0.015465749	-0.00293538798661684	-0.005490858	-0.00548536165663286	-0.006015855	-0.00536588746842208	-0.006186391	-0.00618019842879539	-0.009191799	-0.00286534162665356	-0.013165857	-0.00543086140703306	-0.012443708	-0.00107172525461302
HMR_9042	methionine	-0.006100296	-0.000913249144765389	-0.002496251	-0.00254605155722279	-0.004789793	-0.00425569570880564	-0.003363566	-0.00255847051080297	-0.004351409	-0.000918465401759586	-0.001823891	-0.00171279976219245	-0.001426579	-0.00167895420024567	-0.001965335	-0.00193374724524907	-0.00289763	-0.000896548313306955	-0.002318728	-0.0016992841582963	-0.003263032	-0.000335336443101186
HMR_9043	phenylalanine	-0.006567123	-0.00154358353580775	-0.002744675	-0.00428813895807776	-0.005369239	-0.00720787741700185	-0.003162452	-0.00432435439984962	-0.004906518	-0.00155240010953348	-0.002358298	-0.00290097120905713	-0.00220937	-0.00283778646356166	-0.002257474	-0.00326844041112885	-0.003408873	-0.00151535561068863	-0.003510565	-0.00287214837751524	-0.00339599	-0.00056678926609923
HMR_9044	threonine	-0.013603744	-0.00231134159585904	-0.006411995	-0.006411995	-0.011510289	-0.0108017691055346	-0.009353784	-0.00738337544725282	-0.009821513	-0.00232454341688946	-0.005220614	-0.00434741316606251	-0.004979441	-0.004979441	-0.005240142	-0.00489411949569382	-0.007183311	-0.00226907347367511	-0.008527731	-0.00430071703955828	-0.008802744	-0.008802744
HMR_9045	tryptophan	-0.001211726	-0.000399994985485418	-0.000695832	-0.00111120262720229	-0.00138647	-0.00186780615101962	-0.000865457	-0.00112058727971369	-0.00133912	-0.000402279659555623	-0.000421306	-0.000751740291174589	-0.00035138	-0.000735366974945783	-0.000467773	-0.00084696405764998	-0.000944004	-0.000392680170163552	-0.000954767	-0.000744271315368099	-0.000725178	-0.000146874373176061
HMR_9046	valine	-0.01330341	-0.00272971933550489	-0.006165194	-0.00758327330893126	-0.011472903	-0.0127466262088906	-0.008788208	-0.00764731778035456	-0.010175864	-0.00274531082842623	-0.005794702	-0.00513016433345303	-0.004841612	-0.00501842653793575	-0.005347229	-0.00578000787144647	-0.007691297	-0.0026798002276553	-0.009105286	-0.00507919317527551	-0.010005055	-0.00100232710633187
HMR_9061	alanine	0.056209087	-0.00338740728865256	0.014127935	0.723495709070666	0.055245815	1.03444550653571	0.022787714	-0.00948983276444572	0.086767953	-0.00340675533519923	0.025716586	-0.00636620616233058	0.018852115	-0.00622754669722363	0.009601013	0.683949520571306	0.012695001	-0.00332792446077727	0.032353203	-0.00630295421167183	0.0076389	-0.00124382389846486
HMR_9062	asparagine	-0.00571363	-0.00152097087390169	-0.002018538	-0.00422532004726678	-0.002396685	-0.00710228592077896	-0.004913882	-0.00426100495245182	-0.001222105	-0.00152965828960248	0.000345758	-0.0526094458366325	-0.001988739	-0.00279621443044942	-0.001628876	-0.00322055953117487	-0.001922615	-0.00149315647258107	-0.002382279	-0.00283007296099378	-0.002440472	-0.000558486110650258
HMR_9063	glutamine	-0.226698917	-0.226698917	-0.146252447	-0.0063972264245347	-0.228850691	-0.0107530153121533	-0.122203241	-0.00733579659682664	-0.219496506	-0.219496506	-0.124230534	-0.00432779111330704	-0.078432974	-0.00481399588401918	-0.091938612	-0.00487599715622634	-0.094750789	-0.094750789	-0.123594044	-0.00428479199845272	-0.109775824	-0.109775824
