exchangeIDs	exchangeMets	exp_HS_578T	HS_578T	exp_RPMI_8226	RPMI_8226	exp_HT29	HT29	exp_MALME_3M	MALME_3M	exp_SR	SR	exp_UO_31	UO_31	exp_MDMAMB_231	MDMAMB_231	exp_HOP62	HOP62	exp_NCI_H226	NCI_H226	exp_HOP92	HOP92	exp_O_786	O_786
HMR_10024	biomass	0.035730055	5.99609047559157	0.018333143	11.0465747963952	0.031111255	11.0465747963952	0.020798529	11.0465747963952	0.019171008	5.94438161117035	0.013033577	11.0465747963952	0.010926773	11.0465747963952	0.011473383	11.0465747963952	0.018027769	5.97629323937798	0.02270517	11.0465747963952	0.025987054	6.00613938934776
HMR_9034	glucose	-0.891204517	-1000	-0.437346135	-64.8098031043872	-0.826120427	-93.7173966673111	-0.848562996	-91.8970539815534	-0.898948663	-1000	-0.549041759	-93.6850928909086	-0.479477546	-89.9686337124336	-0.26705905	-91.9005015070818	-0.398649261	-951.636908884183	-0.594208072	-93.4421958033406	-0.864113881	-945.370966359367
HMR_9039	isoleucine	-0.013615722	-1.44415359417385	-0.005558778	-2.66055870245194	-0.008957816	-2.66055870245194	-0.01142058	-2.66055870245194	-0.004599992	-1.43169955554509	-0.00973818	-2.66055870245194	-0.005568708	-2.66055870245194	-0.003331967	-2.66055870245195	-0.007996597	-1.43938544566959	-0.007304317	-2.66055870245194	-0.00889841	-1.4465738670129
HMR_9040	leucine	-0.01834798	-2.94514742781559	-0.007998895	-5.42583396301505	-0.016259326	-5.42583396301505	-0.012571768	-5.42583396301505	-0.00879963	-2.91974917379235	-0.009163894	-5.42583396301506	-0.006592535	-5.42583396301506	-0.004904579	-5.42583396301506	-0.009283825	-2.93542346191653	-0.00911516	-5.42583396301505	-0.010361673	-2.95008323267408
HMR_9041	lysine	-0.022543147	-2.30975281288454	-0.009620991	-4.25524886800443	-0.017307958	-4.25524886800443	-0.009254128	-4.25524886800443	-0.015465749	-2.28983405156261	-0.005490858	-4.25524886800443	-0.006015855	-4.25524886800443	-0.006186391	-4.25524886800443	-0.009191799	-2.30212672348214	-0.013165857	-4.25524886800442	-0.012443708	-2.31362375294277
HMR_9042	methionine	-0.006100296	-0.722707885609432	-0.002496251	-1.33144200322339	-0.004789793	-1.32869803404387	-0.003363566	-1.33098467502672	-0.004351409	-0.714998839544905	-0.001823891	-1.3314420032233	-0.001426579	-1.3314420032233	-0.001965335	-1.33144200322334	-0.00289763	-0.720321727698164	-0.002318728	-1.33144200322329	-0.003263032	-0.723919079677176
HMR_9043	phenylalanine	-0.006567123	-19.6682745967012	-0.002744675	-104.873029361289	-0.005369239	-2.2504176071102	-0.003162452	-100.440917967417	-0.004906518	-1.21099447455199	-0.002358298	-40.4283100942977	-0.00220937	-60.957814247956	-0.002257474	-138.485427483535	-0.003408873	-1.21749553857534	-0.003510565	-172.086504730959	-0.00339599	-1.22357582161641
HMR_9044	threonine	-0.013603744	-1.83257115905367	-0.006411995	-3.36974559698533	-0.011510289	-3.37248956616485	-0.009353784	-3.370202925182	-0.009821513	-510.839205006225	-0.005220614	-3.36974559698543	-0.004979441	-3.36974559698543	-0.005240142	-3.36974559698538	-0.007183311	-1.82306173640904	-0.008527731	-3.36974559698542	-0.008802744	-1.83216627191444
HMR_9045	tryptophan	-0.001211726	-0.316539612296955	-0.000695832	-0.583159730076498	-0.00138647	-0.583159730076498	-0.000865457	-0.583159730076498	-0.00133912	-0.313809849635294	-0.000421306	-0.583159730076498	-0.00035138	-0.583159730076498	-0.000467773	-0.583159730076498	-0.000944004	-0.315494496400003	-0.000954767	-0.583159730076497	-0.000725178	-0.317070104503058
HMR_9046	valine	-0.01330341	-2.160187831084	-0.006165194	-3.97970586792685	-0.011472903	-3.97970586792685	-0.008788208	-3.97970586792685	-0.010175864	-2.14155888274898	-0.005794702	-3.97970586792685	-0.004841612	-3.97970586792685	-0.005347229	-3.97970586792685	-0.007691297	-2.15305555899241	-0.009105286	-3.97970586792684	-0.010005055	-2.16380811354973
