exchangeIDs	exchangeMets	exp_HS_578T	HS_578T	exp_RPMI_8226	RPMI_8226	exp_HT29	HT29	exp_MALME_3M	MALME_3M	exp_SR	SR	exp_UO_31	UO_31	exp_MDMAMB_231	MDMAMB_231	exp_HOP62	HOP62	exp_NCI_H226	NCI_H226	exp_HOP92	HOP92	exp_O_786	O_786
HMR_10024	biomass	0.035730055	0.044702638576756	0.018333143	0.0210701623788985	0.031111255	0.0377018634818042	0.020798529	0.02402358077565	0.019171008	0.0322740229392666	0.013033577	0.01425418696298	0.010926773	0.0156170714871011	0.011473383	0.0160597804459735	0.018027769	0.023604748473467	0.02270517	0.0280225853096716	0.025987054	0.0289262929025794
HMR_9034	glucose	-0.891204517	-0.891204517	-0.437346135	-0.00869593477201969	-0.826120427	-0.0286240503903782	-0.848562996	-0.0105248251504847	-0.898948663	-0.898948663	-0.549041759	-0.00624540545077657	-0.479477546	-0.0068425469403495	-0.26705905	-0.00703880846324624	-0.398649261	-0.398649261	-0.594208072	-0.0115652916961051	-0.864113881	-0.864113881
HMR_9039	isoleucine	-0.013615722	-0.0107665947391008	-0.005558778	-0.00507473175282781	-0.008957816	-0.00908046365810175	-0.01142058	-0.00578606021095069	-0.004599992	-0.00777317260570401	-0.00973818	-0.00343310952668416	-0.005568708	-0.00376135917401111	-0.003331967	-0.00386798527258837	-0.007996597	-0.00568518478603574	-0.007304317	-0.00674921725376616	-0.00889841	-0.00696687450455193
HMR_9040	leucine	-0.01834798	-0.0219569503757219	-0.007998895	-0.0103491991634345	-0.016259326	-0.0185183240161724	-0.012571768	-0.0117998531570432	-0.00879963	-0.0158522884255619	-0.009163894	-0.00700134233139324	-0.006592535	-0.00767076115803776	-0.004904579	-0.00788821003690337	-0.009283825	-0.0115941319654631	-0.00911516	-0.0137640760061046	-0.010361673	-0.0142079572489885
HMR_9041	lysine	-0.022543147	-0.022543147	-0.009620991	-0.00811643303594302	-0.017307958	-0.0145231272914531	-0.009254128	-0.009254118745872	-0.015465749	-0.0124322699216303	-0.005490858	-0.00549085250917213	-0.006015855	-0.00601584898413191	-0.006186391	-0.00618638481363738	-0.009191799	-0.00909278043851452	-0.013165857	-0.0107945744826215	-0.012443708	-0.011142691503744
HMR_9042	methionine	-0.006100296	-0.00542074947848864	-0.002496251	-0.00255501857079358	-0.004789793	-0.00453483480729346	-0.003363566	-0.00288959112988731	-0.004351409	-0.00388998314376636	-0.001823891	-0.00171451427647833	-0.001426579	-0.00188232328377957	-0.001965335	-0.00193568292818612	-0.00289763	-0.0028623685771411	-0.002318728	-0.00339808609822032	-0.003263032	-0.00350767185469449
HMR_9043	phenylalanine	-0.006567123	-0.00910685952809952	-0.002744675	-0.122265255815109	-0.005369239	-0.121772453440717	-0.003162452	-0.00489410429565909	-0.004906518	-0.00657489138610689	-0.002358298	-0.0029038750841572	-0.00220937	-0.003181523077863	-0.002257474	-0.00327171212326711	-0.003408873	-0.0233223983935696	-0.003510565	-0.635440651528825	-0.00339599	-0.00589288897746244
HMR_9044	threonine	-0.013603744	-0.013603744	-0.006411995	-0.006411995	-0.011510289	-0.011510277489711	-0.009353784	-0.00733433457891737	-0.009821513	-0.009821513	-0.005220614	-0.00435176493101739	-0.004979441	-0.00476397062903506	-0.005240142	-0.0048990185142305	-0.007183311	-0.007183311	-0.008527731	-0.008527731	-0.008802744	-0.008802744
HMR_9045	tryptophan	-0.001211726	-2.05214025612976	-0.000695832	-0.00111231494214443	-0.00138647	-0.00199031907506793	-0.000865457	-0.00126822885272734	-0.00133912	-0.772138404672139	-0.000421306	-0.000752492783962677	-0.00035138	-0.000824440820875554	-0.000467773	-0.000847811869523389	-0.000944004	-1.59284817623977	-0.000954767	-0.00147934030108287	-0.000725178	-2.5767701501909
HMR_9046	valine	-0.01330341	-0.0161048430246255	-0.006165194	-0.00759086417310437	-0.011472903	-0.0135827014342288	-0.008788208	-0.00865488055289938	-0.010175864	-0.011627234761939	-0.005794702	-0.0051352996331143	-0.004841612	-0.00562630065722553	-0.005347229	-0.00578579366513813	-0.007691297	-0.00850398949377948	-0.009105286	-0.0100955861203034	-0.010005055	-0.0104211612851553
HMR_9061	alanine	0.056209087	-0.0199850812259903	0.014127935	-0.720395623401996	0.055245815	-0.0168552646564993	0.022787714	-0.0107401537901647	0.086767953	-0.0144286554544925	0.025716586	-0.00637257874110662	0.018852115	-0.00698187964108455	0.009601013	-0.00717980027360712	0.012695001	-0.0105529076264997	0.032353203	-0.0125279773500268	0.0076389	-0.0129319953280214
HMR_9062	asparagine	-0.00571363	-0.00897344897353105	-0.002018538	-0.00422954959686364	-0.002396685	-0.00756813823372201	-0.004913882	-0.00482240832119224	-0.001222105	-1.77579612507392	0.000345758	-0.00286133488858488	-0.001988739	-0.00313491548971689	-0.001628876	-0.00322378331450415	-0.001922615	-2.04841542105217	-0.002382279	-0.00562515429488563	-0.002440472	-2.5165867416655
HMR_9063	glutamine	-0.226698917	-0.226698917	-0.146252447	-0.00821886964109558	-0.228850691	-0.014706422077395	-0.122203241	-0.00937091395674947	-0.219496506	-0.219496506	-0.124230534	-0.00557649950424854	-0.078432974	-0.00609177434990732	-0.091938612	-0.00628288080743603	-0.094750789	-0.094750789	-0.123594044	-0.0109761073221542	-0.109775824	-0.109775824
HMR_9064	tyrosine	-0.007986935	-0.00682323417693365	-0.003674763	-0.00321606635837367	-0.008123502	-0.00575466351950184	-0.004482545	-0.00366686447645116	-0.006833216	-0.00492617937905904	-0.002693864	-0.00217570279399076	-0.003180849	-0.00238372810435874	-0.00311885	-0.00245130145114064	-0.004976546	-0.00360293556823353	-0.004926558	-0.0042772567324563	-0.003969672	-0.00441519508979275
HMR_9066	arginine	-0.027206388	-0.0122487576588837	-0.006832754	-0.00577333511017068	-0.011382525	-0.0103305085287976	-0.00129978	-0.00658258725632719	-0.005431378	-0.00884325172397948	-0.006102876	-0.00390572206233807	-0.007139201	-0.00427915957709101	-0.001574063	-0.00440046415604409	-0.00338457	-0.00648511679100583	-0.012814136	-0.0076783354934229	-0.009856139	-0.0079259561183445
HMR_9067	glycine	-0.000802262	-2.02042955076688	-0.000306523	-0.00851105926766177	0.003908824	0.00202245739573299	0.016061208	0	0.008171299	-2.38583285321584	0.004334714	-0.000204097355753639	0.006385996	0.00359243921093602	0.002939872	0.00449479340608154	0.000604886	-1.06276439154932	-0.00039991	-0.00108176440651149	0.0025653	-1.29857535606834
HMR_9068	proline	0.000605661	-0.0123220744564134	-0.000675569	-0.00580701997876583	0.005380916	-0.0103923433550941	-0.001069608	-0.00190575930674835	0.00710491	-0.00889618434900217	0.001186608	-0.0039121626791929	0.001436971	-0.00430412658927743	0.001361038	-0.00441303961217755	0.002203858	-0.00650653915463077	0.002435376	-0.00772429533558929	0.000231007	-0.00797339813133401
HMR_9069	serine	-0.0325857	-0.0325857	-0.016314407	-0.00901681059859205	-0.033339735	-0.033339735	-0.024670565	-0.024670565	-0.031649758	-0.031649758	-0.011636228	-0.011636228	-0.016568732	-0.016568732	-0.017833616	-0.017833616	-0.021499214	-0.021499214	-0.022222852	-0.022222852	-0.030117158	-0.030117158
HMR_9070	aspartate	-0.001934168	-4.26639133904392	-0.000782986	-0.127448335420967	-0.004150227	-1.59723575153386	0.001500354	-1.08574056315539	-0.012462967	-0.960314236861891	0.000128843	-0.646996308848709	-0.00113204	-0.708875429676148	-0.006761827	-0.728957359298135	0.002611711	0	-0.000494245	-0.642197690210317	-0.000684778	0
HMR_9071	glutamate	0.02678411	-3.40452298412057	0.056588804	-0.0104140880922896	0.042193442	-0.0186328720666436	0.016112564	-0.0165890720575233	0.011390914	0	0.038522979	-0.00704524037579817	0.00917449	-0.00771885642291645	0.016202008	-0.00793234969541487	0.01664521	0	0.015988165	-0.0138039201893891	0.018807129	-0.0226545999354919
HMR_9083	choline	-0.002044274	-0.00557893578512327	-0.000545279	-0.00262443315792564	-0.000966912	-0.00470523177246718	-0.001938647	-0.00299816786532513	-0.000844902	-0.00402783162780433	-0.000249379	-0.00177893735733434	-0.000990661	-0.00194902676334456	-0.000451292	-0.00200427730182916	-0.001591875	-0.00294589715842709	-0.00136736	-0.00349724779013574	-0.000571763	-0.00361003143758653
HMR_9087	ornithine	0.007885861	0	0.000643202	0	0.003060358	0	-0.002311655	0	-0.001427155	0	0.001458248	0	0.001948405	0	0.001635996	0	-0.001200326	0	0.009506915	0	0.01603422	0
HMR_9133	pyruvate	2.51e-07	0	6.64e-08	0	1.15e-07	0	2.87e-07	0	1.52e-07	0	5.61e-08	0	5.85e-08	0	3.08e-08	0	4.95e-08	0	1.05e-07	0	5.76e-08	0
HMR_9135	L-lactate	1.392205968	6.23387516091424	0.679121284	1.16713237876614	1.166895089	2.99208486236032	0.932104298	1.8286182834429	1.118142634	2.2456102721499	0.767588362	1.04791113141369	0.743240244	1.18184608257713	0.317551752	1.18672071203033	0.552731028	1.10624507936596	0.687740829	1.07969480803388	0.992967126	2.12949061799133
HMR_9146	folate	4.25e-05	-2.63490710864463	-5.73e-06	-0.00204972435936539	-2.34e-06	-0.438935932374263	1e-05	-0.235126912661024	8.51e-06	-1.2406394477718	-9.39e-06	-0.109872733323485	8.43e-07	-0.102630534819257	-3.16e-06	-0.126047094327787	-6.98e-06	-9.77236586985342e-07	-1.4e-05	-0.159872007044826	-1.4e-05	-2.23876586166924e-05
HMR_9259	AKG	2.25e-05	0	1.03e-05	0	1.33e-05	0	1.95e-05	0	1.05e-05	0	6.34e-06	0	4.48e-06	0	8.71e-06	0	2.8e-06	0	8.67e-06	0	1.24e-05	0
HMR_9292	L-carnitine	-1.19e-05	0	-2.09e-05	0	-2.46e-05	0	-1.83e-05	0	-4.72e-05	0	1.17e-06	0	-5.56e-06	0	-2.19e-05	0	-1.2e-05	0	-2.58e-05	0	9.89e-06	0
