Rxn_ID	Metabolite	experimental	predictions
HMR_9034	glucose	-0.26705905	-0.00799517124484907
HMR_9039	isoleucine	-0.003331967	-0.005001043067393
HMR_9040	leucine	-0.004904579	-0.00946412532673973
HMR_9041	lysine	-0.006186391	-0.0813422451385474
HMR_9042	methionine	-0.001965335	-0.00229131455278962
HMR_9043	phenylalanine	-0.002257474	-0.00361629209853318
HMR_9044	threonine	-0.005240142	-0.005240142
HMR_9045	tryptophan	-0.000467773	-0.000956374769860015
HMR_9046	valine	-0.005347229	-0.00671454786339219
HMR_9061	alanine	0.009601013	0
HMR_9062	asparagine	-0.001628876	-0.0037159144703936
HMR_9063	glutamine	-0.091938612	-0.0207963287602125
HMR_9064	tyrosine	-0.00311885	-0.00272965298897546
HMR_9066	arginine	-0.001574063	-0.00528994794578821
HMR_9067	glycine	0.002939872	-0.00421093824768043
HMR_9068	proline	0.001361038	-0.00497115635583487
HMR_9069	serine	-0.017833616	-0.0129024508357118
HMR_9070	aspartate	-0.006761827	0
HMR_9071	glutamate	0.016202008	-0.0345917009405744
HMR_9083	choline	-0.000451292	-0.00104064133663112
HMR_9087	ornithine	0.001635996	0
HMR_9133	pyruvate	3.08184e-08	0
HMR_9135	L-lactate	0.317551752	0
HMR_9146	folate	-3.15613e-06	0
HMR_9259	AKG	8.70724e-06	0
HMR_9292	L-carnitine	-2.19382e-05	0
humanGrowthOut	biomass	0.011473383	0.0211512466794943
