Rxn_ID	Metabolite	experimental	predictions
HMR_9034	glucose	-0.26705905	-0.921985072700346
HMR_9039	isoleucine	-0.003331967	-0.00339530195408321
HMR_9040	leucine	-0.004904579	-0.00729605339000405
HMR_9041	lysine	-0.006186391	-0.00627416639411493
HMR_9042	methionine	-0.001965335	-0.0017141330253624
HMR_9043	phenylalanine	-0.002257474	-0.00318652934201984
HMR_9044	threonine	-0.005240142	-0.00444463156042645
HMR_9045	tryptophan	-0.000467773	-0.00079113831939803
HMR_9046	valine	-0.005347229	-0.00517536317272878
HMR_9061	alanine	0.009601013	-0.0102957861843882
HMR_9062	asparagine	-0.001628876	-0.00439521288554461
HMR_9063	glutamine	-0.091938612	-0.0187309322472303
HMR_9064	tyrosine	-0.00311885	-0.00208772612063369
HMR_9066	arginine	-0.001574063	-0.00557093233242779
HMR_9067	glycine	0.002939872	-0.0177017198965304
HMR_9068	proline	0.001361038	-0.00937279147842388
HMR_9069	serine	-0.017833616	-0.0120634638907298
HMR_9070	aspartate	-0.006761827	-0.00249062063514196
HMR_9071	glutamate	0.016202008	0
HMR_9083	choline	-0.000451292	-0.000407980142084571
HMR_9087	ornithine	0.001635996	0
HMR_9133	pyruvate	3.08184e-08	0
HMR_9135	L-lactate	0.317551752	1.59598515159338
HMR_9146	folate	-3.15613e-06	0
HMR_9259	AKG	8.70724e-06	0.00274700805346638
HMR_9292	L-carnitine	-2.19382e-05	0
humanGrowthOut	biomass	0.011473383	0.0183133870231025
