Rxn_ID	Metabolite	experimental	predictions
HMR_9034	glucose	-0.26705905	-0.26705905
HMR_9039	isoleucine	-0.003331967	-0.0115653904091596
HMR_9040	leucine	-0.004904579	-0.0248524894229191
HMR_9041	lysine	-0.006186391	-0.0213716437657934
HMR_9042	methionine	-0.001965335	-0.00583883787646894
HMR_9043	phenylalanine	-0.002257474	-0.0108542498985641
HMR_9044	threonine	-0.005240142	-0.0151397136149807
HMR_9045	tryptophan	-0.000467773	-0.00269484825067797
HMR_9046	valine	-0.005347229	-0.0176287989731851
HMR_9061	alanine	0.009601013	-0.0350704557067397
HMR_9062	asparagine	-0.001628876	-0.0149713791704332
HMR_9063	glutamine	-0.091938612	-0.0606839902374896
HMR_9064	tyrosine	-0.00311885	-0.00711140510595576
HMR_9066	arginine	-0.001574063	-0.018976223098524
HMR_9067	glycine	0.002939872	-0.0602972296089194
HMR_9068	proline	0.001361038	-0.0319264660809487
HMR_9069	serine	-0.017833616	-5.11810352223017
HMR_9070	aspartate	-0.006761827	0
HMR_9071	glutamate	0.016202008	-2.46636342640553
HMR_9083	choline	-0.000451292	-0.0013896995572715
HMR_9087	ornithine	0.001635996	0
HMR_9133	pyruvate	3.08184e-08	0
HMR_9135	L-lactate	0.317551752	7.54773837539887
HMR_9146	folate	-3.15613e-06	-0.0153536274038904
HMR_9259	AKG	8.70724e-06	0
HMR_9292	L-carnitine	-2.19382e-05	0
humanGrowthOut	biomass	0.011473383	0.0623807465434716
