Rxn_ID	Metabolite	experimental	predictions
HMR_9034	glucose	-0.26705905	-0.26705905
HMR_9039	isoleucine	-0.003331967	-5.09824326135693
HMR_9040	leucine	-0.004904579	-9.64806991691053
HMR_9041	lysine	-0.006186391	-45.7325759008463
HMR_9042	methionine	-0.001965335	-2.33584850619939
HMR_9043	phenylalanine	-0.002257474	-9.82637647025806
HMR_9044	threonine	-0.005240142	-916.864579118767
HMR_9045	tryptophan	-0.000467773	-0.974962854761485
HMR_9046	valine	-0.005347229	-6.84505170947126
HMR_9061	alanine	0.009601013	3.02141146748704
HMR_9062	asparagine	-0.001628876	-3.78813692527119
HMR_9063	glutamine	-0.091938612	-11.0050312221084
HMR_9064	tyrosine	-0.00311885	-2.7827064812984
HMR_9066	arginine	-0.001574063	-5.39276329039946
HMR_9067	glycine	0.002939872	0
HMR_9068	proline	0.001361038	-5.06777567214564
HMR_9069	serine	-0.017833616	-39.2913505155266
HMR_9070	aspartate	-0.006761827	-0.0210058753527615
HMR_9071	glutamate	0.016202008	-7.26104981893378
HMR_9083	choline	-0.000451292	-1.06086722519164
HMR_9087	ornithine	0.001635996	0
HMR_9133	pyruvate	3.08184e-08	0
HMR_9135	L-lactate	0.317551752	0
HMR_9146	folate	-3.15613e-06	-18.3350669010675
HMR_9259	AKG	8.70724e-06	0
HMR_9292	L-carnitine	-2.19382e-05	0
humanGrowthOut	biomass	0.011473383	21.5623419754398
