Gene stable ID,Gene name,HGNC ID,UniProtKB/Swiss-Prot ID
ENSG00000198888,MT-ND1,HGNC:7455,P03886
ENSG00000198763,MT-ND2,HGNC:7456,P03891
ENSG00000198804,MT-CO1,HGNC:7419,P00395
ENSG00000198712,MT-CO2,HGNC:7421,P00403
ENSG00000228253,MT-ATP8,HGNC:7415,P03928
ENSG00000198899,MT-ATP6,HGNC:7414,P00846
ENSG00000198938,MT-CO3,HGNC:7422,P00414
ENSG00000198840,MT-ND3,HGNC:7458,P03897
ENSG00000212907,MT-ND4L,HGNC:7460,P03901
ENSG00000198886,MT-ND4,HGNC:7459,P03905
ENSG00000198786,MT-ND5,HGNC:7461,P03915
ENSG00000198695,MT-ND6,HGNC:7462,P03923
ENSG00000198727,MT-CYB,HGNC:7427,P00156
ENSG00000256892,MTRNR2L7,HGNC:37164,P0CJ74
ENSG00000039523,RIPOR1,HGNC:25836,
ENSG00000136381,IREB2,HGNC:6115,
ENSG00000168778,TCTN2,HGNC:25774,
ENSG00000272398,CD24,HGNC:1645,
ENSG00000198354,DCAF12L2,HGNC:32950,Q5VW00
ENSG00000175189,INHBC,HGNC:6068,P55103
ENSG00000176269,OR4F21,HGNC:19583,O95013
ENSG00000161904,LEMD2,HGNC:21244,
ENSG00000005073,HOXA11,HGNC:5101,
ENSG00000136999,NOV,HGNC:7885,P48745
ENSG00000005073,HOXA11,HGNC:5101,P31270
ENSG00000197992,CLEC9A,HGNC:26705,Q6UXN8
ENSG00000171033,PKIA,HGNC:9017,P61925
ENSG00000162882,HAAO,HGNC:4796,P46952
ENSG00000261427,AC099518.3,,
ENSG00000160194,NDUFV3,HGNC:7719,P56181
ENSG00000180730,SHISA2,HGNC:20366,Q6UWI4
ENSG00000196620,UGT2B15,HGNC:12546,P54855
ENSG00000157214,STEAP2,HGNC:17885,
ENSG00000162882,HAAO,HGNC:4796,
ENSG00000174292,TNK1,HGNC:11940,Q13470
ENSG00000136244,IL6,HGNC:6018,P05231
ENSG00000103528,SYT17,HGNC:24119,
ENSG00000161179,YDJC,HGNC:27158,A8MPS7
ENSG00000161904,LEMD2,HGNC:21244,Q8NC56
ENSG00000136244,IL6,HGNC:6018,
ENSG00000111676,ATN1,HGNC:3033,P54259
ENSG00000134291,TMEM106C,HGNC:28775,
ENSG00000174292,TNK1,HGNC:11940,
ENSG00000267281,AC023509.3,,
ENSG00000184661,CDCA2,HGNC:14623,Q69YH5
ENSG00000131584,ACAP3,HGNC:16754,Q96P50
ENSG00000168778,TCTN2,HGNC:25774,Q96GX1
ENSG00000137204,SLC22A7,HGNC:10971,
ENSG00000149541,B3GAT3,HGNC:923,O94766
ENSG00000111678,C12orf57,HGNC:29521,Q99622
ENSG00000106571,GLI3,HGNC:4319,P10071
ENSG00000111678,C12orf57,HGNC:29521,
ENSG00000188257,PLA2G2A,HGNC:9031,P14555
ENSG00000149541,B3GAT3,HGNC:923,
ENSG00000131386,GALNT15,HGNC:21531,Q8N3T1
ENSG00000184661,CDCA2,HGNC:14623,
ENSG00000009954,BAZ1B,HGNC:961,Q9UIG0
ENSG00000131386,GALNT15,HGNC:21531,
ENSG00000266338,NBPF15,HGNC:28791,Q8N660
ENSG00000106571,GLI3,HGNC:4319,
ENSG00000198105,ZNF248,HGNC:13041,
ENSG00000160233,LRRC3,HGNC:14965,Q9BY71
ENSG00000100425,BRD1,HGNC:1102,
ENSG00000120659,TNFSF11,HGNC:11926,O14788
ENSG00000106031,HOXA13,HGNC:5102,P31271
ENSG00000079332,SAR1A,HGNC:10534,Q9NR31
ENSG00000169807,PRY2,HGNC:21504,O14603
ENSG00000278522,POTEB3,HGNC:51240,
ENSG00000198105,ZNF248,HGNC:13041,Q8NDW4
ENSG00000072657,TRHDE,HGNC:30748,Q9UKU6
ENSG00000137101,CD72,HGNC:1696,P21854
ENSG00000262481,TMEM256-PLSCR3,HGNC:49186,
ENSG00000072657,TRHDE,HGNC:30748,
ENSG00000101337,TM9SF4,HGNC:30797,Q92544
ENSG00000091986,CCDC80,HGNC:30649,Q76M96
ENSG00000079332,SAR1A,HGNC:10534,
ENSG00000278522,POTEB3,HGNC:51240,A0JP26
ENSG00000278522,POTEB3,HGNC:51240,Q6S5H4
ENSG00000139151,PLCZ1,HGNC:19218,
ENSG00000185313,SCN10A,HGNC:10582,Q9Y5Y9
ENSG00000157214,STEAP2,HGNC:17885,Q8NFT2
ENSG00000273529,HES5,HGNC:19764,Q5TA89
ENSG00000134339,SAA2,HGNC:10514,P0DJI9
ENSG00000101337,TM9SF4,HGNC:30797,
ENSG00000134339,SAA2,HGNC:10514,
ENSG00000186136,TAS2R42,HGNC:18888,Q7RTR8
ENSG00000205544,TMEM256,HGNC:28618,Q8N2U0
ENSG00000278216,UGT2A3,HGNC:28528,Q6UWM9
ENSG00000205544,TMEM256,HGNC:28618,
ENSG00000161180,CCDC116,HGNC:26688,Q8IYX3
ENSG00000137101,CD72,HGNC:1696,
ENSG00000161180,CCDC116,HGNC:26688,
ENSG00000198015,MRPL42,HGNC:14493,Q9Y6G3
ENSG00000198889,DCAF12L1,HGNC:29395,Q5VU92
ENSG00000278216,UGT2A3,HGNC:28528,
ENSG00000117118,SDHB,HGNC:10681,P21912
ENSG00000180353,HCLS1,HGNC:4844,P14317
ENSG00000136381,IREB2,HGNC:6115,P48200
ENSG00000100425,BRD1,HGNC:1102,O95696
ENSG00000163508,EOMES,HGNC:3372,O95936
ENSG00000139287,TPH2,HGNC:20692,Q8IWU9
ENSG00000122543,OCM,HGNC:8105,P0CE72
ENSG00000099860,GADD45B,HGNC:4096,O75293
ENSG00000099860,GADD45B,HGNC:4096,
ENSG00000103528,SYT17,HGNC:24119,Q9BSW7
